ID,name,position,age,nationality,current_club,matches_played
f288,Álex Berenguer,"FW,MF",29,es ESP,Athletic Club,22
f289,Sander Berge,MF,27,no NOR,Fulham,17
f290,Lucas Bergvall,MF,19,se SWE,Tottenham,17
f291,Medon Berisha,MF,21,al ALB,Lecce,7
f292,Mergim Berisha,"FW,MF",26,de GER,Hoffenheim,11
f293,Adrian Bernabe,MF,23,es ESP,Parma,12
f294,Marc Bernal,MF,17,es ESP,Barcelona,3
f295,Bernardo,DF,29,br BRA,Bochum,11
f296,Juan Bernat,"DF,MF",31,es ESP,Villarreal,10
f297,Juan Bernat,MF,31,es ESP,Getafe,2
f298,Antoine Bernede,MF,25,fr FRA,Hellas Verona,1
f299,Alexander Bernhardsson,"MF,DF",26,se SWE,Holstein Kiel,9
f300,Victor Bernth Kristiansen,DF,22,dk DEN,Leicester City,21
f301,Matúš Bero,MF,29,sk SVK,Bochum,18
f302,Juan Berrocal,DF,25,es ESP,Getafe,11
f303,Dimitry Bertaud,GK,26,cd COD,Montpellier,3
f304,Jan-Niklas Beste,FW,26,de GER,Freiburg,1
f305,Beto,FW,27,gw GNB,Everton,16
f306,Sam Beukema,DF,26,nl NED,Bologna,23
f307,Alessandro Bianco,MF,22,it ITA,Monza,20
f308,Alessandro Bianco,MF,22,it ITA,Fiorentina,1
f309,Mika Biereth,FW,22,dk DEN,Monaco,4
f310,Jaka Bijol,DF,26,si SVN,Udinese,22
f311,El Bilal Touré,"FW,MF",23,ml MLI,Stuttgart,9
f312,Philip Billing,MF,28,dk DEN,Bournemouth,10
f313,Cristiano Biraghi,DF,32,it ITA,Torino,2
f314,Cristiano Biraghi,DF,32,it ITA,Fiorentina,8
f315,Samuele Birindelli,"DF,MF",25,it ITA,Monza,9
f316,Tom Bischof,"MF,FW",19,de GER,Hoffenheim,19
f317,Yves Bissouma,MF,28,ml MLI,Tottenham,18
f318,Leonardo Bittencourt,MF,31,de GER,Werder Bremen,14
f319,Emmanuel Biumla,DF,19,fr FRA,Angers,15
f320,Marco Bizot,GK,33,nl NED,Brest,21
f321,Bjarki Bjarkason,"DF,MF",24,is ISL,Venezia,8
f322,Antonio Blanco,MF,24,es ESP,Alavés,21
f323,Ludovic Blas,"MF,FW",27,fr FRA,Rennes,21
f324,Daley Blind,DF,34,nl NED,Girona,20
f325,Myron Boadu,FW,24,nl NED,Bochum,11
f326,Augustine Boakye,"FW,MF",24,gh GHA,Saint-Étienne,14
f327,Mathéo Bodmer,MF,20,fr FRA,Le Havre,1
f328,Sacha Boey,DF,24,fr FRA,Bayern Munich,7
f329,Jeremie Boga,"MF,FW",28,ci CIV,Nice,11
f330,Lamare Bogarde,"DF,MF",21,nl NED,Aston Villa,5
f331,Emil Bohinen,MF,25,no NOR,Genoa,3
f332,Adama Boiro,DF,22,es ESP,Athletic Club,11
f333,Willy Boly,DF,34,ci CIV,Nott'ham Forest,5
f334,Moïse Bombito,DF,24,ca CAN,Nice,16
f335,Warren Bondo,MF,21,fr FRA,Monza,20
f336,Victor Boniface,FW,24,ng NGA,Leverkusen,12
f337,Kevin Bonifazi,DF,28,it ITA,Lecce,3
f338,Ange-Yoan Bonny,FW,21,fr FRA,Parma,23
f339,Sebastiaan Bornauw,DF,25,be BEL,Wolfsburg,11
