ID,name,position,age,nationality,market_value
t325,Ferran Torres,Right Winger,25,Spain,€28.00m
t326,Yoane Wissa,Centre-Forward,28,DR Congo,€28.00m
t327,Ibrahim Sangaré,Defensive Midfield,27,Cote d'Ivoire,€28.00m
t328,Antonee Robinson,Left-Back,27,United States,€28.00m
t329,Joe Willock,Central Midfield,25,England,€28.00m
t330,Deniz Undav,Centre-Forward,28,Germany,€28.00m
t331,Ermedin Demirovic,Centre-Forward,26,Bosnia-Herzegovina,€28.00m
t332,Donyell Malen,Right Winger,26,Netherlands,€28.00m
t333,Albert Gudmundsson,Second Striker,27,Iceland,€28.00m
t334,Marcos Llorente,Right Midfield,30,Spain,€28.00m
t335,Manuel Locatelli,Defensive Midfield,27,Italy,€28.00m
t336,Unai Simón,Goalkeeper,27,Spain,€28.00m
t337,Joe Gomez,Centre-Back,27,England,€28.00m
t338,Ivan Toney,Centre-Forward,28,England,€28.00m
t339,Rúben Neves,Defensive Midfield,27,Portugal,€28.00m
t340,Xaver Schlager,Central Midfield,27,Austria,€28.00m
t341,Stanislav Lobotka,Defensive Midfield,30,Slovakia,€28.00m
t342,Virgil van Dijk,Centre-Back,33,Netherlands,€28.00m
t343,Mateo Kovacic,Central Midfield,30,Croatia,€28.00m
t344,Thiago Almada,Attacking Midfield,23,Argentina,€27.00m
t345,Pepê,Right Winger,28,Brazil,€27.00m
t346,Galeno,Left Winger,27,Brazil,€27.00m
t347,Jørgen Strand Larsen,Centre-Forward,25,Norway,€27.00m
t348,Trincão,Right Winger,25,Portugal,€27.00m
t349,Frank Anguissa,Central Midfield,29,Cameroon,€27.00m
t350,Olivier Boscagli,Centre-Back,27,France,€27.00m
t351,Manu Koné,Central Midfield,23,France,€26.00m
t352,Pierre Kalulu,Centre-Back,24,France,€26.00m
t353,Ayyoub Bouaddi,Central Midfield,17,France,€25.00m
t354,Arthur Vermeeren,Defensive Midfield,20,Belgium,€25.00m
t355,Archie Gray,Right-Back,18,England,€25.00m
t356,Santiago Castro,Centre-Forward,20,Argentina,€25.00m
t357,André,Defensive Midfield,23,Brazil,€25.00m
t358,Andrey Santos,Central Midfield,20,Brazil,€25.00m
t359,Malick Fofana,Left Winger,19,Belgium,€25.00m
t360,Igor Thiago,Centre-Forward,23,Brazil,€25.00m
t361,Alberto Moleiro,Attacking Midfield,21,Spain,€25.00m
t362,Tyrick Mitchell,Left-Back,25,England,€25.00m
t363,Loïc Badé,Centre-Back,24,France,€25.00m
t364,Lesley Ugochukwu,Defensive Midfield,20,France,€25.00m
t365,Brajan Gruda,Right Winger,20,Germany,€25.00m
t366,Samuel Lino,Left Winger,25,Brazil,€25.00m
t367,Lewis Hall,Left-Back,20,England,€25.00m
t368,Oscar Bobb,Right Winger,21,Norway,€25.00m
t369,Elye Wahi,Centre-Forward,22,France,€25.00m
t370,Wilfried Singo,Centre-Back,24,Cote d'Ivoire,€25.00m
t371,Yan Couto,Right-Back,22,Brazil,€25.00m
t372,Liam Delap,Centre-Forward,22,England,€25.00m
t373,Leif Davis,Left-Back,25,England,€25.00m
t374,Dwight McNeil,Attacking Midfield,25,England,€25.00m
t375,Anthony Elanga,Right Winger,22,Sweden,€25.00m
t376,Radu Drăgușin,Centre-Back,23,Romania,€25.00m
t377,Bart Verbruggen,Goalkeeper,22,Netherlands,€25.00m
t378,Anatoliy Trubin,Goalkeeper,23,Ukraine,€25.00m
t379,Amad Diallo,Right Winger,22,Cote d'Ivoire,€25.00m
t380,Nuno Tavares,Left-Back,25,Portugal,€25.00m
t381,Nicolò Rovella,Defensive Midfield,23,Italy,€25.00m
t382,Miguel Gutiérrez,Left-Back,23,Spain,€25.00m
t383,Federico Gatti,Centre-Back,26,Italy,€25.00m
t384,Taylor Harwood-Bellis,Centre-Back,23,England,€25.00m
t385,Folarin Balogun,Centre-Forward,23,United States,€25.00m
t386,Edon Zhegrova,Right Winger,25,Kosovo,€25.00m
t387,Daniel Muñoz,Right-Back,28,Colombia,€25.00m
t388,Facundo Medina,Centre-Back,25,Argentina,€25.00m
t389,Bafodé Diakité,Centre-Back,24,France,€25.00m
t390,Nahuel Molina,Right-Back,26,Argentina,€25.00m
t391,Nikola Milenković,Centre-Back,27,Serbia,€25.00m
t392,Angel Gomes,Attacking Midfield,24,England,€25.00m
